author_id,display_name,career_start,career_end,n_ai_works,origin_group,abroad,abroad_year,hit,hit_year,pi_year,pi,active,recent_group
A5102833128,Sarit Buzaglo,2011,2022,13,Other Western,True,2015.0,True,2014.0,,False,True,Other Western
A5085150941,Itzhak Tamo,2010,2025,84,Other Western,True,2011.0,True,2010.0,2011.0,True,True,Other Western
A5058399271,Aharon Bar-Hillel,2003,2023,31,Other Western,True,2007.0,True,2003.0,2006.0,True,True,Other Western
A5086416893,Mitsugu Hirasaka,2000,2018,24,Sinic,True,2000.0,False,,2000.0,True,False,
A5017805559,Philip Derbeko,2002,2021,13,Other Western,False,,True,2004.0,,False,True,Other Western
A5067042141,Shantanu Sharma,2014,2025,56,Other Western,True,2014.0,True,2020.0,2016.0,True,True,United States
A5038304782,Hung M. Bui,2012,2021,11,Continental Europe,True,2018.0,True,2020.0,2012.0,True,True,
A5101658856,Alexandra Florea,2015,2024,15,United States,False,,True,2020.0,2015.0,True,True,United States
A5041345202,Mark J. Buller,2011,2011,2,United States,False,,False,,,False,False,
A5038771285,Finale Doshi‐Velez,2009,2026,213,United States,True,2009.0,True,2009.0,2009.0,True,True,United States
A5042107443,Rajiv Maheswaran,2004,2016,39,United States,False,,True,2004.0,2011.0,True,False,
A5047330175,Nathan Schurr,2003,2021,33,United States,False,,True,2003.0,2005.0,True,True,United States
A5001294168,Barbara Thönssen,2005,2020,20,Continental Europe,False,,True,2010.0,2005.0,True,True,
A5027436146,Gašper Tkačik,2005,2023,18,United States,False,,True,2005.0,2013.0,True,True,Continental Europe
A5046510681,Jason Prentice,2009,2011,2,United States,False,,False,,,False,False,
A5029269972,Elad Schneidman,2002,2024,27,Other Western,True,2006.0,True,2002.0,2004.0,True,True,Other Western
A5100681555,Yabin Zhang,2010,2025,23,Sinic,False,,True,2018.0,2010.0,True,True,Sinic
A5024350063,Hui Tang,2012,2026,42,Sinic,True,2017.0,True,2018.0,2012.0,True,True,Sinic
A5065964089,Kui Jia,2009,2025,96,Sinic,False,,True,2009.0,2016.0,True,True,Sinic
A5032352025,Mingkui Tan,2010,2026,176,Sinic,True,2014.0,True,2014.0,2010.0,True,True,Sinic
A5024944956,Timothy C. Burness,2006,2025,58,Anglosphere ex-US,False,,True,2008.0,2006.0,True,True,Anglosphere ex-US
A5113703337,Alex Gontmakher,2000,2002,2,Other Western,False,,False,,2002.0,True,False,
A5057160666,Dana Lahat,2009,2015,4,Other Western,True,2012.0,True,2015.0,,False,False,
A5015355162,Maya Herman,2006,2024,11,Other Western,False,,False,,2014.0,True,True,Other Western
A5052689442,Holger Dell,2010,2022,12,United States,False,,True,2017.0,2010.0,True,True,Continental Europe
A5087168202,Christian Komusiewicz,2008,2026,55,Continental Europe,False,,True,2008.0,2013.0,True,True,Continental Europe
A5064260879,Nimrod Talmon,2012,2026,65,Continental Europe,True,2012.0,True,2017.0,2012.0,True,True,Other Western
A5030931327,Mathias Weller,2012,2022,13,Continental Europe,False,,True,2018.0,2012.0,True,True,Continental Europe
A5101930446,Ali Moeini,2002,2025,36,Islamic,False,,True,2008.0,2005.0,True,True,Islamic
A5068064308,Iman Hajirasouliha,2008,2025,29,Anglosphere ex-US,False,,True,2008.0,2017.0,True,True,United States
A5057328085,Wei Zhu,2011,2024,23,United States,False,,True,2014.0,2017.0,True,True,United States
A5045227579,Le Lü,2001,2025,160,Sinic,True,2005.0,True,2009.0,2001.0,True,True,Sinic
A5101931947,Jing Xiao,2009,2025,24,United States,True,2009.0,True,2009.0,2009.0,True,True,Sinic
A5101964440,Mei Han,2016,2022,9,Sinic,False,,True,2016.0,,False,True,
A5071606826,Uzi Zahavi,2005,2011,8,Other Western,True,2011.0,True,2005.0,,False,False,
A5011195666,Ariel Felner,2002,2026,177,Other Western,True,2007.0,True,2003.0,2002.0,True,True,Other Western
A5102924622,Eugene Kharitonov,2013,2026,46,Other Civilizations,True,2019.0,True,2013.0,2019.0,True,True,Other Western
A5025751434,Vitaliy Liptchinsky,2012,2022,19,Continental Europe,True,2016.0,True,2012.0,,False,True,
A5053915453,Ronan Collobert,2000,2026,138,Anglosphere ex-US,True,2002.0,True,2000.0,2000.0,True,True,Other Western
A5041907084,Gabriel Synnaeve,2010,2025,141,Continental Europe,True,2010.0,True,2011.0,2016.0,True,True,Other Western
A5114500405,Nathan Keller,2001,2026,130,Other Western,False,,True,2006.0,2001.0,True,True,Other Western
A5113969216,Ser-Nam Lim,2009,2025,116,United States,False,,True,2009.0,2016.0,True,True,Other Western
A5017780534,Kévin Huguenin,2007,2026,35,Continental Europe,False,,True,2011.0,2018.0,True,True,Continental Europe
A5031849486,Anne-Marie Kermarrec,2004,2026,113,Continental Europe,False,,True,2004.0,2008.0,True,True,Continental Europe
A5053776048,Maxime Monod,2009,2011,4,Continental Europe,False,,True,2011.0,2009.0,True,False,
A5050595999,Ýmir Vigfússon,2011,2023,8,Continental Europe,True,2011.0,False,,2011.0,True,True,United States
A5061121471,Rebecca Willett,2004,2025,83,United States,False,,True,2004.0,2008.0,True,True,United States
A5025123281,Daniel Soudry,2011,2026,108,Other Western,True,2014.0,True,2014.0,2017.0,True,True,Other Western
A5070613374,Nathan Srebro,2000,2026,209,United States,True,2004.0,True,2003.0,2000.0,True,True,United States
A5082022013,J. Shiny Duela,2014,2024,11,Other Western,False,,False,,2014.0,True,True,Hindu
A5008645615,Ahmad Beirami,2008,2025,122,United States,False,,True,2011.0,2011.0,True,True,United States
A5046195860,Maziar Sanjabi,2013,2026,59,United States,False,,True,2016.0,2022.0,True,True,United States
A5112800069,Virginia Smith,2012,2026,78,United States,True,2012.0,True,2013.0,2012.0,True,True,United States
A5024052456,Achiya Elyasaf,2009,2025,40,Other Western,False,,True,2012.0,2014.0,True,True,Other Western
A5088933377,Michael Orlov,2008,2018,12,Other Western,False,,True,2009.0,2009.0,True,False,
A5008162285,Ohad Elishco,2011,2026,27,Other Western,False,,True,2011.0,2014.0,True,True,Other Western
A5055883859,Tom Meyerovitch,2009,2025,14,Anglosphere ex-US,True,2011.0,True,2016.0,2009.0,True,True,Other Western
A5057348725,Russell C. Burnett,2004,2019,4,United States,True,2005.0,False,,2004.0,True,False,
A5063283689,Reut Tsarfaty,2005,2026,146,Continental Europe,True,2008.0,True,2008.0,2005.0,True,True,Other Western
A5002590915,Niv Buchbinder,2001,2025,34,United States,True,2003.0,True,2006.0,,False,True,Other Western
A5061963231,Iftach Haitner,2004,2026,105,Other Western,True,2008.0,True,2005.0,2004.0,True,True,Other Western
A5016947119,Eliad Tsfadia,2014,2025,27,Other Western,False,,False,,2014.0,True,True,Other Western
A5089641146,Moti Freiman,2008,2026,24,Other Western,False,,True,2008.0,2021.0,True,True,Other Western
A5026220115,Elior Sulem,2015,2026,32,Continental Europe,True,2015.0,True,2018.0,2025.0,True,True,United States
A5059068945,Omri Abend,2008,2026,140,Other Western,True,2008.0,True,2009.0,2017.0,True,True,Other Western
A5083044960,Geoffroy Couteau,2015,2026,99,Continental Europe,True,2015.0,True,2016.0,2016.0,True,True,Continental Europe
A5051519610,Lambert Mathias,2006,2026,42,United States,False,,True,2006.0,2008.0,True,True,United States
A5016956470,Douwe Kiela,2011,2026,165,Anglosphere ex-US,True,2014.0,True,2013.0,2013.0,True,True,Other Western
A5019297976,Vinodkumar Prabhakaran,2009,2026,82,United States,False,,True,2009.0,2010.0,True,True,United States
