Country,ISO3,K gap (%),TFP shift (pp),Labour-share shift (pp)
Ireland,IRL,-9.17,-4.64,4.64
Costa Rica,CRI,-7.25,-3.19,3.19
Republic of Korea,KOR,-7.07,-3.1,3.1
Slovakia,SVK,-6.72,-3.19,3.19
Israel,ISR,-6.39,-2.8,2.8
Lithuania,LTU,-6.34,-3.21,3.21
Estonia,EST,-6.19,-2.58,2.58
Luxembourg,LUX,-5.87,-2.72,2.72
Czech Republic,CZE,-5.42,-2.66,2.66
Poland,POL,-5.16,-2.08,2.08
Colombia,COL,-5.05,-2.71,2.71
Belgium,BEL,-4.99,-1.89,1.89
Canada,CAN,-4.85,-1.45,1.45
Australia,AUS,-4.84,-1.79,1.79
Mexico,MEX,-4.84,-2.93,2.93
Slovenia,SVN,-4.38,-1.5,1.5
France,FRA,-4.33,-1.56,1.56
Netherlands,NLD,-4.29,-1.43,1.43
Hungary,HUN,-4.2,-1.62,1.62
Sweden,SWE,-4.2,-1.81,1.81
United Kingdom,GBR,-4.15,-1.84,1.84
New Zealand,NZL,-4.07,-1.7,1.7
Latvia,LVA,-3.97,-1.93,1.93
Spain,ESP,-3.91,-1.53,1.53
Austria,AUT,-3.86,-1.51,1.51
Norway,NOR,-3.83,-1.74,1.74
United States,USA,-3.7,-1.44,1.44
Denmark,DNK,-3.56,-1.31,1.31
Finland,FIN,-3.36,-1.21,1.21
Iceland,ISL,-2.91,-1.11,1.11
Portugal,PRT,-2.56,-0.95,0.95
Italy,ITA,-2.06,-0.91,0.91
Germany,DEU,-1.88,-0.66,0.66
Japan,JPN,-1.21,-0.49,0.49
Greece,GRC,-0.58,-0.3,0.3
Median,,-4.29,-1.74,1.74
